点号,电压等级,间隔名称,设备名称,设备大类,信息分类,告警分级,量测类型,动作量词,信号类型,是否上光字牌,主站描述,厂站端描述
470,35kV,35kV315备用线,315线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,315重合闸动作,315重合闸动作
471,35kV,35kV315备用线,315线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,315过流Ⅰ段动作（速断）,315过流Ⅰ段动作（速断）
472,35kV,35kV315备用线,315线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,315过流Ⅱ段动作（过流）,315过流Ⅱ段动作（过流）
473,35kV,35kV315备用线,315线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,315过流加速动作,315过流加速动作
474,35kV,35kV315备用线,315线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,315装置报警,315装置报警
475,35kV,35kV315备用线,315线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,315PT断线,315PT断线
476,35kV,35kV315备用线,315开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,315控制回路断线,315控制回路断线
477,35kV,35kV315备用线,315线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,315过负荷报警,315过负荷报警
478,35kV,35kV315备用线,315开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,315弹簧未储能,315弹簧未储能
479,35kV,35kV315备用线,315线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,315测控屏远方/就地,315测控屏远方/就地
480,35kV,35kV315备用线,315线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,315闭锁重合压板,315闭锁重合压板
481,35kV,35kV315备用线,315线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,315信号复归开入,315信号复归开入
482,35kV,35kV315备用线,315线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,315装置检修,315装置检修
483,35kV,35kV315备用线,315开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,315储能电源跳闸,315储能电源跳闸
484,35kV,35kV315备用线,315开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,315SF6压力低闭锁,315SF6压力低闭锁
485,35kV,35kV315备用线,315开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,315SF6压力低报警,315SF6压力低报警
486,35kV,35kV315备用线,315开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,315电缆室/开关室加热器故障,315电缆室/开关室加热器故障
487,35kV,35kV315备用线,315线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,315网络通讯正常,315网络通讯正常
488,35kV,35kV马营线,317线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,317重合闸动作,317重合闸动作
489,35kV,35kV马营线,317线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,317过流Ⅰ段动作（速断）,317过流Ⅰ段动作（速断）
490,35kV,35kV马营线,317线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,317过流Ⅱ段动作（过流）,317过流Ⅱ段动作（过流）
491,35kV,35kV马营线,317线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,317过流加速动作,317过流加速动作
492,35kV,35kV马营线,317线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,317装置报警,317装置报警
493,35kV,35kV马营线,317线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,317PT断线,317PT断线
494,35kV,35kV马营线,317开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,317控制回路断线,317控制回路断线
495,35kV,35kV马营线,317线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,317过负荷报警,317过负荷报警
496,35kV,35kV马营线,317开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,317弹簧未储能,317弹簧未储能
497,35kV,35kV马营线,317线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,317测控屏远方/就地,317测控屏远方/就地
498,35kV,35kV马营线,317线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,317闭锁重合压板,317闭锁重合压板
499,35kV,35kV马营线,317线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,317信号复归开入,317信号复归开入
500,35kV,35kV马营线,317线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,317装置检修,317装置检修
501,35kV,35kV马营线,317开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,317储能电源跳闸,317储能电源跳闸
502,35kV,35kV马营线,317开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,317SF6压力低闭锁,317SF6压力低闭锁
503,35kV,35kV马营线,317开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,317SF6压力低报警,317SF6压力低报警
504,35kV,35kV马营线,317开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,317电缆室/开关室加热器故障,317电缆室/开关室加热器故障
505,35kV,35kV马营线,317线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,317网络通讯正常,317网络通讯正常
506,35kV,35kV马城线,312线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,312重合闸动作,312重合闸动作
507,35kV,35kV马城线,312线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,312过流Ⅰ段动作（速断）,312过流Ⅰ段动作（速断）
508,35kV,35kV马城线,312线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,312过流Ⅱ段动作（过流）,312过流Ⅱ段动作（过流）
509,35kV,35kV马城线,312线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,312过流加速动作,312过流加速动作
510,35kV,35kV马城线,312线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,312装置报警,312装置报警
511,35kV,35kV马城线,312线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,312PT断线,312PT断线
512,35kV,35kV马城线,312开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,312控制回路断线,312控制回路断线
513,35kV,35kV马城线,312线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,312过负荷报警,312过负荷报警
514,35kV,35kV马城线,312开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,312弹簧未储能,312弹簧未储能
515,35kV,35kV马城线,312线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,312测控屏远方/就地,312测控屏远方/就地
516,35kV,35kV马城线,312线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,312闭锁重合压板,312闭锁重合压板
517,35kV,35kV马城线,312线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,312信号复归开入,312信号复归开入
518,35kV,35kV马城线,312线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,312装置检修,312装置检修
519,35kV,35kV马城线,312开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,312储能电源跳闸,312储能电源跳闸
520,35kV,35kV马城线,312开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,312SF6压力低闭锁,312SF6压力低闭锁
521,35kV,35kV马城线,312开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,312SF6压力低报警,312SF6压力低报警
522,35kV,35kV马城线,312开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,312电缆室/开关室加热器故障,312电缆室/开关室加热器故障
523,35kV,35kV马城线,312线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,312网络通讯正常,312网络通讯正常
524,35kV,35kV314备用线,314线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,314重合闸动作,314重合闸动作
525,35kV,35kV314备用线,314线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,314过流Ⅰ段动作（速断）,314过流Ⅰ段动作（速断）
526,35kV,35kV314备用线,314线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,314过流Ⅱ段动作（过流）,314过流Ⅱ段动作（过流）
527,35kV,35kV314备用线,314线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,314过流加速动作,314过流加速动作
528,35kV,35kV314备用线,314线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,314装置报警,314装置报警
529,35kV,35kV314备用线,314线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,314PT断线,314PT断线
530,35kV,35kV314备用线,314开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,314控制回路断线,314控制回路断线
531,35kV,35kV314备用线,314线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,314过负荷报警,314过负荷报警
532,35kV,35kV314备用线,314开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,314弹簧未储能,314弹簧未储能
533,35kV,35kV314备用线,314线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,314测控屏远方/就地,314测控屏远方/就地
534,35kV,35kV314备用线,314线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,314闭锁重合压板,314闭锁重合压板
535,35kV,35kV314备用线,314线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,314信号复归开入,314信号复归开入
536,35kV,35kV314备用线,314线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,314装置检修,314装置检修
537,35kV,35kV314备用线,314开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,314储能电源跳闸,314储能电源跳闸
538,35kV,35kV314备用线,314开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,314SF6压力低闭锁,314SF6压力低闭锁
539,35kV,35kV314备用线,314开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,314SF6压力低报警,314SF6压力低报警
540,35kV,35kV314备用线,314开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,314电缆室/开关室加热器故障,314电缆室/开关室加热器故障
541,35kV,35kV314备用线,314线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,314网络通讯正常,314网络通讯正常
542,35kV,35kV316备用线,316线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,316重合闸动作,316重合闸动作
543,35kV,35kV316备用线,316线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,316过流Ⅰ段动作（速断）,316过流Ⅰ段动作（速断）
544,35kV,35kV316备用线,316线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,316过流Ⅱ段动作（过流）,316过流Ⅱ段动作（过流）
545,35kV,35kV316备用线,316线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,316过流加速动作,316过流加速动作
546,35kV,35kV316备用线,316线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,316装置报警,316装置报警
547,35kV,35kV316备用线,316线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,316PT断线,316PT断线
548,35kV,35kV316备用线,316开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,316控制回路断线,316控制回路断线
549,35kV,35kV316备用线,316线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,316过负荷报警,316过负荷报警
550,35kV,35kV316备用线,316开关机构,辅助设备,异常,,,PSCADA已储能/未储能,主设备异常告警,是,316弹簧未储能,316弹簧未储能
551,35kV,35kV316备用线,316线路保护,二次设备,告知,,,PSCADA远方/就地,一般遥信,是,316测控屏远方/就地,316测控屏远方/就地
552,35kV,35kV316备用线,316线路保护,二次设备,变位,,,PSCADA退出/投入,一般遥信,是,316闭锁重合压板,316闭锁重合压板
553,35kV,35kV316备用线,316线路保护,二次设备,告知,,,PSCADA分位/合位,一般遥信,是,316信号复归开入,316信号复归开入
554,35kV,35kV316备用线,316线路保护,二次设备,异常,,,PSCADA退出/投入,一般遥信,是,316装置检修,316装置检修
555,35kV,35kV316备用线,316开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,316储能电源跳闸,316储能电源跳闸
556,35kV,35kV316备用线,316开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,316SF6压力低闭锁,316SF6压力低闭锁
557,35kV,35kV316备用线,316开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,316SF6压力低报警,316SF6压力低报警
558,35kV,35kV316备用线,316开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,316电缆室/开关室加热器故障,316电缆室/开关室加热器故障
559,35kV,35kV316备用线,316线路保护,二次设备,异常,,,PSCADA恢复/中断,二次设备故障告警,是,316网络通讯正常,316网络通讯正常
560,35kV,35kV318备用线,318线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,318重合闸动作,318重合闸动作
561,35kV,35kV318备用线,318线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,318过流Ⅰ段动作（速断）,318过流Ⅰ段动作（速断）
562,35kV,35kV318备用线,318线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,318过流Ⅱ段动作（过流）,318过流Ⅱ段动作（过流）
563,35kV,35kV318备用线,318线路保护,二次设备,事故,,,PSCADA复归/动作,保护事件,是,318过流加速动作,318过流加速动作
564,35kV,35kV318备用线,318线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,318装置报警,318装置报警
565,35kV,35kV318备用线,318线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,318PT断线,318PT断线
566,35kV,35kV318备用线,318开关机构,辅助设备,异常,,,PSCADA复归/告警,主设备异常告警,是,318控制回路断线,318控制回路断线
567,35kV,35kV318备用线,318线路保护,二次设备,异常,,,PSCADA复归/告警,二次设备异常告警,是,318过负荷报警,318过负荷报警
